,nodeA,nodeB,weight
9165,Hefner,Stanley Rosenberg,4
9166,Harriette Chandler,Stanley Rosenberg,1
9167,Charlie Baker,Stanley Rosenberg,1
9168,Maura Healey,Stanley Rosenberg,1
9169,Baker,Stanley Rosenberg,1
9170,Rosenberg,Rosenberg,3
9171,Harriette Chandler,Rosenberg,3
9172,Charlie Baker,Rosenberg,3
9173,Maura Healey,Rosenberg,3
9174,Baker,Rosenberg,3
9175,Bryon Hefner,Harriette Chandler,1
9176,Bryon Hefner,Charlie Baker,1
9177,Bryon Hefner,Maura Healey,1
9178,Baker,Bryon Hefner,1
9179,Hefner,Hefner,6
9180,Harriette Chandler,Hefner,4
9181,Charlie Baker,Hefner,4
9182,Hefner,Maura Healey,4
9183,Baker,Hefner,4
9184,Charlie Baker,Harriette Chandler,1
9185,Harriette Chandler,Maura Healey,1
9186,Baker,Harriette Chandler,1
9187,Charlie Baker,Maura Healey,1
9188,Baker,Charlie Baker,1
9189,Baker,Maura Healey,1
9190,Susan Brooks,Theodore Deutch,1
9191,Representative John Conyers,Susan Brooks,1
9192,Joe Barton,Susan Brooks,1
9193,Ben Ray Lujan,Susan Brooks,1
9194,Gregg Harper,Susan Brooks,1
9195,Politico,Susan Brooks,1
9196,Blake Farenthold,Susan Brooks,1
9197,Lauren Greene,Susan Brooks,1
9198,Greene,Susan Brooks,1
9199,Representative John Conyers,Theodore Deutch,1
9200,Joe Barton,Theodore Deutch,1
9201,Ben Ray Lujan,Theodore Deutch,1
9202,Gregg Harper,Theodore Deutch,1
9203,Politico,Theodore Deutch,1
9204,Blake Farenthold,Theodore Deutch,1
9205,Lauren Greene,Theodore Deutch,1
9206,Greene,Theodore Deutch,1
9207,Joe Barton,Representative John Conyers,1
9208,Ben Ray Lujan,Representative John Conyers,1
9209,Gregg Harper,Representative John Conyers,1
9210,Politico,Representative John Conyers,1
9211,Blake Farenthold,Representative John Conyers,1
9212,Lauren Greene,Representative John Conyers,1
9213,Greene,Representative John Conyers,1
9214,Ben Ray Lujan,Joe Barton,1
9215,Gregg Harper,Joe Barton,1
9216,Joe Barton,Politico,1
9217,Blake Farenthold,Joe Barton,1
9218,Joe Barton,Lauren Greene,1
9219,Greene,Joe Barton,1
9220,Ben Ray Lujan,Gregg Harper,1
9221,Ben Ray Lujan,Politico,1
9222,Ben Ray Lujan,Blake Farenthold,1
9223,Ben Ray Lujan,Lauren Greene,1
9224,Ben Ray Lujan,Greene,1
9225,Gregg Harper,Politico,1
9226,Blake Farenthold,Gregg Harper,1
9227,Gregg Harper,Lauren Greene,1
9228,Greene,Gregg Harper,1
9229,Daines,Steve Daines,1
9230,Donald Trump,Jeb Hensarling,5
9231,Jeb Hensarling,Leandra English,2
9232,Deepak Gupta,Mick Mulvaney,2
9233,Deepak Gupta,Jeb Hensarling,1
9234,Cordray,Deepak Gupta,3
9235,Jeb Hensarling,Mick Mulvaney,2
9236,Brian Johnson,Mick Mulvaney,1
9237,Brian Johnson,Jeb Hensarling,1
9238,Jeb Hensarling,Mulvaney,5
9239,Jeb Hensarling,Richard Cordray,2
9240,Cordray,Jeb Hensarling,3
9241,Brian Johnson,Cordray,2
9242,Cordray,Mulvaney,18
9243,Heather Nauert,Rex Tillerson,5
9244,Fayez al-Sarraj,Heather Nauert,1
9245,Hillary Clinton,Sergey Kislyak,2
9246,Johnson,Katanga Johnson,3
9247,Katanga Johnson,Paul Ryan,1
9248,Donald Trump,Katanga Johnson,1
9249,Katanga Johnson,Michaela Sims Stewart,1
9250,Katanga Johnson,Stewart,2
9251,Katanga Johnson,Russell Moore,1
9252,Johnson,Paul Ryan,4
9253,Johnson,Michaela Sims Stewart,3
9254,Johnson,Stewart,6
9255,Johnson,Russell Moore,3
9256,Michaela Sims Stewart,Paul Ryan,1
9257,Paul Ryan,Stewart,2
9258,Paul Ryan,Russell Moore,1
9259,Donald Trump,Michaela Sims Stewart,1
9260,Donald Trump,Stewart,4
9261,Donald Trump,Russell Moore,1
9262,Michaela Sims Stewart,Stewart,2
9263,Michaela Sims Stewart,Russell Moore,1
9264,Stewart,Stewart,1
9265,Russell Moore,Stewart,2
9266,Cohn,Rex Tillerson,2
9267,Raj Shah,Rex Tillerson,1
9268,Reince Priebus,Rex Tillerson,1
9269,Ivanka Trump,Rex Tillerson,1
9270,Cohn,Trump,4
9271,Ivanka Trump,Trump,1
9272,Cohn,Donald Trump,4
9273,Donald Trump,Ivanka Trump,4
9274,Cohn,Gary Cohn,4
9275,Gary Cohn,Raj Shah,1
9276,Gary Cohn,Tillerson,1
9277,Gary Cohn,John Kelly,1
9278,Gary Cohn,Reince Priebus,1
9279,Gary Cohn,Ivanka Trump,1
9280,Cohn,Jared Kushner,2
9281,Jared Kushner,Raj Shah,1
9282,Jared Kushner,Reince Priebus,1
9283,Ivanka Trump,Jared Kushner,1
9284,Cohn,Kushner,6
9285,Cohn,Raj Shah,2
9286,Cohn,Tillerson,2
9287,Cohn,Cohn,1
9288,Cohn,John Kelly,2
9289,Cohn,Reince Priebus,2
9290,Cohn,Ivanka Trump,2
9291,Kushner,Raj Shah,3
9292,Kushner,Tillerson,3
9293,John Kelly,Kushner,3
9294,Kushner,Reince Priebus,3
9295,Ivanka Trump,Kushner,3
9296,Raj Shah,Tillerson,1
9297,John Kelly,Raj Shah,1
9298,Raj Shah,Reince Priebus,1
9299,Ivanka Trump,Raj Shah,1
9300,Reince Priebus,Tillerson,1
9301,Ivanka Trump,Tillerson,1
9302,John Kelly,Reince Priebus,1
9303,Ivanka Trump,John Kelly,1
9304,Ivanka Trump,Reince Priebus,1
9305,Fayez Seraj,Rex Tillerson,1
9306,Rex,Rex Tillerson,7
9307,Fayez Seraj,Mike Pompeo,1
9308,Mike Pompeo,Rex,3
9309,Heather Nauert,Mike Pompeo,2
9310,Fayez Seraj,Tillerson,5
9311,Rex,Tillerson,20
9312,Heather Nauert,Tillerson,18
9313,Fayez Seraj,Rex,1
9314,Fayez Seraj,Heather Nauert,1
9315,Fayez Seraj,John Kelly,1
9316,Heather Nauert,Rex,2
9317,John Kelly,Rex,2
9318,Heather Nauert,John Kelly,2
9319,Donald Trump,Jim Inhofe,1
9320,Carl Icahn,Donald Trump,1
9321,Jim Inhofe,Ted Cruz,1
9322,Carl Icahn,Ted Cruz,1
9323,Bill Northey,Jim Inhofe,1
9324,Bill Northey,Pat Toomey,1
9325,Bill Northey,Carl Icahn,1
9326,Jim Inhofe,Trump,1
9327,Carl Icahn,Trump,1
9328,Cruz,Jim Inhofe,2
9329,Cruz,Pat Toomey,2
9330,Carl Icahn,Cruz,2
9331,Jim Inhofe,Pat Toomey,1
9332,Chuck Grassley,Jim Inhofe,1
9333,Jim Inhofe,Michael Zona,1
9334,George W. Bush,Jim Inhofe,1
9335,Carl Icahn,Jim Inhofe,1
9336,Michael Zona,Pat Toomey,1
9337,Carl Icahn,Pat Toomey,1
9338,Carl Icahn,Chuck Grassley,1
9339,Carl Icahn,Michael Zona,1
9340,Carl Icahn,George W. Bush,1
9341,Bob Corker,Marc Short,2
9342,Corker,Marc Short,6
9343,Marc Short,Orrin Hatch,2
9344,Hatch,Marc Short,2
9345,John McCain,Marc Short,2
9346,Marc Short,McCain,2
9347,Marc Short,Mike Pence,2
9348,Bob Corker,Mike Rounds,2
9349,Corker,Mike Rounds,6
9350,Corker,Nancy Pelosi,8
9351,Corker,McCain,9
9352,Mike Rounds,Trump,2
9353,McCain,Trump,10
9354,Mike Rounds,Orrin Hatch,2
9355,McCain,Orrin Hatch,2
9356,Hatch,Jeff Flake,2
9357,Jeff Flake,Mike Rounds,2
9358,Hatch,Mike Rounds,2
9359,Hatch,Nancy Pelosi,2
9360,Hatch,McCain,2
9361,John McCain,Mike Rounds,2
9362,Mike Rounds,Nancy Pelosi,2
9363,McCain,Mike Rounds,2
9364,Mike Rounds,Susan Collins,2
9365,Mike Pence,Mike Rounds,2
9366,John McCain,Nancy Pelosi,3
9367,McCain,Nancy Pelosi,2
9368,Mike Pence,Nancy Pelosi,2
9369,Donald Trump,Heather Nauert,3
9370,Heather Nauert,Jared Kushner,1
9371,Heather Nauert,Trump,4
9372,Jeff Sessions,Mike Quigley,1
9373,Betsy DeVos,Jeff Sessions,1
9374,Jeff Sessions,Prince,1
9375,Donald Trump,Mike Quigley,1
9376,Donald Trump,Prince,1
9377,Adam Schiff,Mike Quigley,1
9378,Adam Schiff,Prince,1
9379,Mike Quigley,Robert Mueller,1
9380,Erik Prince,Mike Quigley,1
9381,Blackwater,Mike Quigley,1
9382,Betsy DeVos,Mike Quigley,1
9383,Mike Quigley,Prince,1
9384,Mike Quigley,Trump,1
9385,Betsy DeVos,Robert Mueller,1
9386,Prince,Robert Mueller,1
9387,Erik Prince,Prince,1
9388,Blackwater,Prince,1
9389,Betsy DeVos,Prince,1
9390,Betsy DeVos,Trump,1
9391,Prince,Trump,1
9392,John Conyers,Pelosi,3
9393,John Conyers,Steny Hoyer,3
9394,James Clyburn,John Conyers,1
9395,Clyburn,John Conyers,1
9396,John Conyers,Marion Brown,1
9397,Brown,John Conyers,1
9398,Nancy Pelosi,Steny Hoyer,3
9399,James Clyburn,Nancy Pelosi,3
9400,Clyburn,Nancy Pelosi,3
9401,Nancy Pelosi,Nancy Pelosi,4
9402,Marion Brown,Nancy Pelosi,3
9403,Brown,Nancy Pelosi,3
9404,Pelosi,Steny Hoyer,1
9405,James Clyburn,Pelosi,1
9406,Clyburn,Pelosi,1
9407,Paul Ryan,Pelosi,5
9408,Arnold Reed,Pelosi,1
9409,Harvey Weinstein,Pelosi,1
9410,Al Franken,Pelosi,1
9411,Pelosi,Roy Moore,1
9412,Marion Brown,Pelosi,1
9413,Brown,Pelosi,1
9414,Pelosi,Ryan,5
9415,James Clyburn,Steny Hoyer,1
9416,Clyburn,Steny Hoyer,1
9417,Paul Ryan,Steny Hoyer,2
9418,Arnold Reed,Steny Hoyer,2
9419,Harvey Weinstein,Steny Hoyer,2
9420,Al Franken,Steny Hoyer,2
9421,Roy Moore,Steny Hoyer,2
9422,Marion Brown,Steny Hoyer,1
9423,Brown,Steny Hoyer,1
9424,Ryan,Steny Hoyer,2
9425,Clyburn,James Clyburn,1
9426,James Clyburn,Paul Ryan,1
9427,Arnold Reed,James Clyburn,1
9428,Harvey Weinstein,James Clyburn,1
9429,Al Franken,James Clyburn,1
9430,James Clyburn,Roy Moore,1
9431,James Clyburn,Marion Brown,1
9432,Brown,James Clyburn,1
9433,James Clyburn,Ryan,1
9434,Clyburn,Paul Ryan,1
9435,Arnold Reed,Clyburn,1
9436,Clyburn,Harvey Weinstein,1
9437,Al Franken,Clyburn,1
9438,Clyburn,Roy Moore,1
9439,Clyburn,Marion Brown,1
9440,Brown,Clyburn,1
9441,Clyburn,Ryan,1
9442,Marion Brown,Paul Ryan,1
9443,Brown,Paul Ryan,1
9444,Arnold Reed,Marion Brown,1
9445,Arnold Reed,Brown,1
9446,Arnold Reed,Ryan,2
9447,Harvey Weinstein,Marion Brown,1
9448,Brown,Harvey Weinstein,1
9449,Harvey Weinstein,Ryan,4
9450,Al Franken,Marion Brown,1
9451,Al Franken,Brown,1
9452,Marion Brown,Roy Moore,1
9453,Brown,Roy Moore,1
9454,Roy Moore,Ryan,6
9455,Brown,Marion Brown,1
9456,Marion Brown,Ryan,1
9457,Brown,Ryan,1
9458,Donald Trump,Trump ,1
9459,Donald Trump,Shah,2
9460,Donald Trump,Roy Blunt,3
9461,Blunt,Donald Trump,1
9462,Richard Burr,Trump ,1
9463,Raj Shah,Richard Burr,1
9464,Richard Burr,Shah,1
9465,Mitch McConnell,Richard Burr,1
9466,Richard Burr,Roy Blunt,1
9467,McConnell,Richard Burr,1
9468,Blunt,Richard Burr,1
9469,Dianne Feinstein,Richard Burr,1
9470,Feinstein,Richard Burr,1
9471,Burr,Trump ,2
9472,Robert Mueller,Trump ,1
9473,Raj Shah,Trump ,1
9474,Shah,Trump ,1
9475,Mitch McConnell,Trump ,1
9476,Roy Blunt,Trump ,1
9477,McConnell,Trump ,1
9478,Blunt,Trump ,1
9479,Dianne Feinstein,Trump ,1
9480,Trump,Trump ,1
9481,Feinstein,Trump ,1
9482,Burr,Robert Mueller,3
9483,Burr,Raj Shah,2
9484,Burr,Shah,2
9485,Burr,Mitch McConnell,2
9486,Burr,Roy Blunt,2
9487,Burr,McConnell,2
9488,Blunt,Burr,2
9489,Burr,Dianne Feinstein,2
9490,Burr,Feinstein,2
9491,Raj Shah,Robert Mueller,1
9492,Robert Mueller,Shah,1
9493,Mitch McConnell,Robert Mueller,1
9494,Robert Mueller,Roy Blunt,1
9495,McConnell,Robert Mueller,1
9496,Blunt,Robert Mueller,1
9497,Raj Shah,Shah,2
9498,Raj Shah,Roy Blunt,1
9499,McConnell,Raj Shah,1
9500,Blunt,Raj Shah,1
9501,Dianne Feinstein,Raj Shah,1
9502,Feinstein,Raj Shah,1
9503,Mitch McConnell,Shah,1
9504,Roy Blunt,Shah,1
9505,McConnell,Shah,1
9506,Blunt,Shah,1
9507,Dianne Feinstein,Shah,1
9508,Shah,Trump,1
9509,Feinstein,Shah,1
9510,Mitch McConnell,Roy Blunt,3
9511,Blunt,Mitch McConnell,1
9512,Dianne Feinstein,Mitch McConnell,1
9513,Feinstein,Mitch McConnell,1
9514,McConnell,Roy Blunt,4
9515,Blunt,Roy Blunt,1
9516,Dianne Feinstein,Roy Blunt,1
9517,Roy Blunt,Trump,2
9518,Feinstein,Roy Blunt,1
9519,Blunt,McConnell,1
9520,Dianne Feinstein,McConnell,1
9521,Feinstein,McConnell,1
9522,Blunt,Dianne Feinstein,1
9523,Blunt,Trump,1
9524,Blunt,Feinstein,1
9525,Donald Trump,Jelena McWilliams,1
9526,Donald Trump,Martin Gruenberg,1
9527,Donald Trump,Gruenberg,1
9528,Donald Trump,James Clinger,1
9529,Barack Obama,Jelena McWilliams,1
9530,Jelena McWilliams,Martin Gruenberg,1
9531,Gruenberg,Jelena McWilliams,1
9532,Jelena McWilliams,Trump,1
9533,James Clinger,Jelena McWilliams,1
9534,Jelena McWilliams,Richard Shelby,1
9535,Barack Obama,Martin Gruenberg,1
9536,Barack Obama,Gruenberg,1
9537,Barack Obama,James Clinger,1
9538,Gruenberg,Martin Gruenberg,1
9539,Martin Gruenberg,Trump,1
9540,James Clinger,Martin Gruenberg,1
9541,Martin Gruenberg,Richard Shelby,1
9542,Gruenberg,Trump,1
9543,Gruenberg,James Clinger,1
9544,Gruenberg,Richard Shelby,1
9545,James Clinger,Trump,1
9546,James Clinger,Richard Shelby,1
9547,Donald Trump,Tom Cotton,3
9548,Donald Trump,Rex,3
9549,Rex,Trump,5
9550,John Kelly,Tom Cotton,1
9551,Rex,Tom Cotton,1
9552,Heather Nauert,Tom Cotton,1
9553,Kelly,Tom Cotton,1
9554,Sarah Sanders,Tom Cotton,1
9555,Jim Mattis,Tom Cotton,1
9556,Sarah Sanders,Tillerson,13
9557,Kelly,Rex,1
9558,Rex,Sarah Sanders,3
9559,Jim Mattis,Rex,1
9560,Heather Nauert,Kelly,1
9561,Heather Nauert,Sarah Sanders,1
9562,Heather Nauert,Jim Mattis,1
9563,Kelly,Sarah Sanders,10
9564,Jim Mattis,Sarah Sanders,1
9565,Al Franken,Leeann Tweeden,2
9566,Al Franken,Lindsay Menz,3
9567,Franken,Leeann Tweeden,2
9568,Franken,Lindsay Menz,1
9569,Leeann Tweeden,Lindsay Menz,1
9570,Mike Pompeo,Richard Boucher,1
9571,Richard Boucher,Trump,1
9572,Pompeo,Rex,3
9573,Rex,Richard Boucher,1
9574,Pompeo,Sarah Sanders,3
9575,Richard Boucher,Sarah Sanders,1
9576,Pompeo,Pompeo,3
9577,Pompeo,Richard Boucher,3
9578,Bob Corker,David Perdue,2
9579,Corker,David Perdue,2
9580,Patrick Leahy,Patrick Shanahan,1
9581,Dianne Feinstein,Patrick Shanahan,1
9582,Mary Wareham,Patrick Shanahan,1
9583,Patrick Shanahan,Tom Crosson,1
9584,Dianne Feinstein,Patrick Leahy,2
9585,Mary Wareham,Patrick Leahy,1
9586,Patrick Leahy,Tom Crosson,1
9587,Dianne Feinstein,Mary Wareham,1
9588,Dianne Feinstein,Tom Crosson,1
9589,Mary Wareham,Tom Crosson,1
9590,Murkowski,Murkowski,4
9591,Corker,Murkowski,14
9592,Andrea,Donald Trump,1
9593,Andrea,Paul Manafort,1
9594,Richard Gates,Trump,6
9595,Kathleen,Richard Gates,1
9596,Andrea,Richard Gates,1
9597,Kevin Downing,Trump,15
9598,Kathleen,Kevin Downing,1
9599,Andrea,Kevin Downing,1
9600,Andrea,Robert Mueller,1
9601,Andrea,Mueller,2
9602,Kathleen,Trump,1
9603,Andrea,Trump,1
9604,Manafort,Trump,40
9605,Andrea,Kathleen,1
9606,Andrea,Manafort,1
9607,Dane Strother,Roy Moore,1
9608,Roy Moore,Sonia Van Meter,1
9609,Roy Moore,Strother,1
9610,Roy Moore,Tracy Sefl,1
9611,Alex Conant,Roy Moore,1
9612,Roy Moore,Tim Pawlenty,1
9613,Marco Rubio,Roy Moore,1
9614,Bernie Sanders,Roy Moore,1
9615,Roy Moore,Van Meter,1
9616,Dane Strother,John Conyers,1
9617,John Conyers,Sonia Van Meter,1
9618,John Conyers,Strother,1
9619,John Conyers,Tracy Sefl,1
9620,Alex Conant,John Conyers,1
9621,John Conyers,Tim Pawlenty,1
9622,John Conyers,Marco Rubio,1
9623,Bernie Sanders,John Conyers,1
9624,John Conyers,Van Meter,1
9625,Al Franken,Dane Strother,1
9626,Al Franken,Sonia Van Meter,1
9627,Al Franken,Strother,1
9628,Al Franken,Tracy Sefl,1
9629,Al Franken,Alex Conant,1
9630,Al Franken,Tim Pawlenty,1
9631,Al Franken,Marco Rubio,1
9632,Al Franken,Bernie Sanders,3
9633,Al Franken,Van Meter,1
9634,Dane Strother,Sonia Van Meter,1
9635,Dane Strother,Strother,1
9636,Dane Strother,Tracy Sefl,1
9637,Alex Conant,Dane Strother,1
9638,Dane Strother,Tim Pawlenty,1
9639,Dane Strother,Marco Rubio,1
9640,Dane Strother,Moore,4
9641,Dane Strother,Doug Jones,1
9642,Dane Strother,Mitch McConnell,1
9643,Dane Strother,Donald Trump,1
9644,Bernie Sanders,Dane Strother,1
9645,Dane Strother,Trump,1
9646,Dane Strother,Van Meter,1
9647,Sonia Van Meter,Strother,1
9648,Sonia Van Meter,Tracy Sefl,1
9649,Alex Conant,Sonia Van Meter,1
9650,Sonia Van Meter,Tim Pawlenty,1
9651,Marco Rubio,Sonia Van Meter,1
9652,Moore,Sonia Van Meter,4
9653,Doug Jones,Sonia Van Meter,1
9654,Mitch McConnell,Sonia Van Meter,1
9655,Donald Trump,Sonia Van Meter,1
9656,Bernie Sanders,Sonia Van Meter,1
9657,Sonia Van Meter,Trump,1
9658,Sonia Van Meter,Van Meter,1
9659,Strother,Tracy Sefl,1
9660,Alex Conant,Strother,1
9661,Strother,Tim Pawlenty,1
9662,Marco Rubio,Strother,1
9663,Moore,Strother,4
9664,Doug Jones,Strother,1
9665,Mitch McConnell,Strother,1
9666,Donald Trump,Strother,1
9667,Bernie Sanders,Strother,1
9668,Strother,Trump,1
9669,Strother,Van Meter,1
9670,Alex Conant,Tracy Sefl,1
9671,Tim Pawlenty,Tracy Sefl,1
9672,Marco Rubio,Tracy Sefl,1
9673,Moore,Tracy Sefl,4
9674,Doug Jones,Tracy Sefl,1
9675,Mitch McConnell,Tracy Sefl,1
9676,Donald Trump,Tracy Sefl,1
9677,Bernie Sanders,Tracy Sefl,1
9678,Tracy Sefl,Trump,1
9679,Tracy Sefl,Van Meter,1
9680,Alex Conant,Tim Pawlenty,1
9681,Alex Conant,Marco Rubio,1
9682,Alex Conant,Moore,4
9683,Alex Conant,Mitch McConnell,1
9684,Alex Conant,Bernie Sanders,1
9685,Alex Conant,Van Meter,1
9686,Marco Rubio,Tim Pawlenty,1
9687,Moore,Tim Pawlenty,4
9688,Doug Jones,Tim Pawlenty,1
9689,Mitch McConnell,Tim Pawlenty,1
9690,Donald Trump,Tim Pawlenty,1
9691,Bernie Sanders,Tim Pawlenty,1
9692,Tim Pawlenty,Trump,1
9693,Tim Pawlenty,Van Meter,1
9694,Marco Rubio,Moore,4
9695,Doug Jones,Marco Rubio,1
9696,Marco Rubio,Mitch McConnell,1
9697,Marco Rubio,Van Meter,1
9698,Bernie Sanders,Moore,4
9699,Moore,Van Meter,4
9700,Bernie Sanders,Doug Jones,1
9701,Doug Jones,Van Meter,1
9702,Bernie Sanders,Mitch McConnell,1
9703,Mitch McConnell,Van Meter,1
9704,Donald Trump,Van Meter,1
9705,Bernie Sanders,Van Meter,1
9706,Trump,Van Meter,1
9707,Joe Barton,Joe Barton,1
9708,Joe Barton,Randy Bellomy,2
9709,Crystal Perkins,Joe Barton,2
9710,Crystal Perkins,Randy Bellomy,1
9711,Rex Tillerson,Stephen Bannon - Trump,1
9712,Philip Bilden,Rex Tillerson,1
9713,James Comey - the,Rex Tillerson,1
9714,Rex Tillerson,Richard Cordray,1
9715,Mick Mulvaney,Rex Tillerson,1
9716,James Donovan - a,Rex Tillerson,1
9717,Michael Dubke - founder,Rex Tillerson,1
9718,Michael Flynn - resigned,Rex Tillerson,1
9719,Mark Green - Trump,Rex Tillerson,1
9720,Jason Miller - communications,Rex Tillerson,1
9721,Rex Tillerson,Tom Price,1
9722,Price,Rex Tillerson,1
9723,Reince Priebus - the,Rex Tillerson,1
9724,Rex Tillerson,Todd Ricketts,1
9725,Anthony Scaramucci - the,Rex Tillerson,1
9726,Rex Tillerson,Walter Shaub - the,1
9727,Michael Short,Rex Tillerson,1
9728,Rex Tillerson,Sean Spicer - resigned,1
9729,Rex Tillerson,Scaramucci,1
9730,Rex Tillerson,Robin Townley,1
9731,Flynn,Rex Tillerson,1
9732,Politico,Rex Tillerson,3
9733,Rex Tillerson,Vincent Viola,1
9734,Katie Walsh,Rex Tillerson,1
9735,Caroline Wiles - Trump,Rex Tillerson,1
9736,Rex Tillerson,Sally Yates,1
9737,Mike Pompeo,Stephen Bannon - Trump,1
9738,Mike Pompeo,Philip Bilden,1
9739,James Comey - the,Mike Pompeo,1
9740,Mike Pompeo,Richard Cordray,1
9741,Mick Mulvaney,Mike Pompeo,1
9742,James Donovan - a,Mike Pompeo,1
9743,Michael Dubke - founder,Mike Pompeo,1
9744,Michael Flynn - resigned,Mike Pompeo,1
9745,Mark Green - Trump,Mike Pompeo,1
9746,Jason Miller - communications,Mike Pompeo,1
9747,Mike Pompeo,Tom Price,1
9748,Mike Pompeo,Price,1
9749,Mike Pompeo,Reince Priebus - the,1
9750,Mike Pompeo,Todd Ricketts,1
9751,Anthony Scaramucci - the,Mike Pompeo,1
9752,Mike Pompeo,Walter Shaub - the,1
9753,Michael Short,Mike Pompeo,1
9754,Mike Pompeo,Sean Spicer - resigned,1
9755,Mike Pompeo,Scaramucci,1
9756,Mike Pompeo,Robin Townley,1
9757,Flynn,Mike Pompeo,1
9758,Mike Pompeo,Politico,3
9759,Mike Pompeo,Vincent Viola,1
9760,Katie Walsh,Mike Pompeo,1
9761,Caroline Wiles - Trump,Mike Pompeo,1
9762,Mike Pompeo,Sally Yates,1
9763,Donald Trump,Stephen Bannon - Trump,1
9764,Donald Trump,Philip Bilden,1
9765,Donald Trump,James Comey - the,1
9766,Donald Trump,James Donovan - a,1
9767,Donald Trump,Michael Dubke - founder,1
9768,Donald Trump,Michael Flynn - resigned,1
9769,Donald Trump,Mark Green - Trump,1
9770,Donald Trump,Jason Miller - communications,1
9771,Donald Trump,Tom Price,3
9772,Donald Trump,Price,1
9773,Donald Trump,Reince Priebus - the,1
9774,Donald Trump,Todd Ricketts,1
9775,Anthony Scaramucci - the,Donald Trump,1
9776,Donald Trump,Walter Shaub - the,1
9777,Donald Trump,Michael Short,1
9778,Donald Trump,Sean Spicer - resigned,1
9779,Donald Trump,Scaramucci,1
9780,Donald Trump,Robin Townley,1
9781,Donald Trump,Vincent Viola,1
9782,Donald Trump,Katie Walsh,1
9783,Caroline Wiles - Trump,Donald Trump,1
9784,Philip Bilden,Stephen Bannon - Trump,1
9785,James Comey - the,Stephen Bannon - Trump,1
9786,Stephen Bannon - Trump,Trump,1
9787,Richard Cordray,Stephen Bannon - Trump,1
9788,Mick Mulvaney,Stephen Bannon - Trump,1
9789,James Donovan - a,Stephen Bannon - Trump,1
9790,Michael Dubke - founder,Stephen Bannon - Trump,1
9791,Michael Flynn - resigned,Stephen Bannon - Trump,1
9792,Mike Pence,Stephen Bannon - Trump,1
9793,Mark Green - Trump,Stephen Bannon - Trump,1
9794,Jason Miller - communications,Stephen Bannon - Trump,1
9795,Stephen Bannon - Trump,Tom Price,1
9796,Price,Stephen Bannon - Trump,1
9797,Reince Priebus - the,Stephen Bannon - Trump,1
9798,John Kelly,Stephen Bannon - Trump,1
9799,Stephen Bannon - Trump,Todd Ricketts,1
9800,Anthony Scaramucci - the,Stephen Bannon - Trump,1
9801,Stephen Bannon - Trump,Walter Shaub - the,1
9802,Michael Short,Stephen Bannon - Trump,1
9803,Sean Spicer - resigned,Stephen Bannon - Trump,1
9804,Scaramucci,Stephen Bannon - Trump,1
9805,Robin Townley,Stephen Bannon - Trump,1
9806,Flynn,Stephen Bannon - Trump,1
9807,Politico,Stephen Bannon - Trump,3
9808,Stephen Bannon - Trump,Vincent Viola,1
9809,Katie Walsh,Stephen Bannon - Trump,1
9810,Caroline Wiles - Trump,Stephen Bannon - Trump,1
9811,Sally Yates,Stephen Bannon - Trump,1
9812,James Comey - the,Philip Bilden,1
9813,Philip Bilden,Trump,1
9814,Philip Bilden,Richard Cordray,1
9815,Mick Mulvaney,Philip Bilden,1
9816,James Donovan - a,Philip Bilden,1
9817,Michael Dubke - founder,Philip Bilden,1
9818,Michael Flynn - resigned,Philip Bilden,1
9819,Mike Pence,Philip Bilden,1
9820,Mark Green - Trump,Philip Bilden,1
9821,Jason Miller - communications,Philip Bilden,1
9822,Philip Bilden,Tom Price,1
9823,Philip Bilden,Price,1
9824,Philip Bilden,Reince Priebus - the,1
9825,John Kelly,Philip Bilden,1
9826,Philip Bilden,Todd Ricketts,1
9827,Anthony Scaramucci - the,Philip Bilden,1
9828,Philip Bilden,Walter Shaub - the,1
9829,Michael Short,Philip Bilden,1
9830,Philip Bilden,Sean Spicer - resigned,1
9831,Philip Bilden,Scaramucci,1
9832,Philip Bilden,Robin Townley,1
9833,Flynn,Philip Bilden,1
9834,Philip Bilden,Politico,3
9835,Philip Bilden,Vincent Viola,1
9836,Katie Walsh,Philip Bilden,1
9837,Caroline Wiles - Trump,Philip Bilden,1
9838,Philip Bilden,Sally Yates,1
9839,James Comey - the,Trump,1
9840,James Comey - the,Richard Cordray,1
9841,James Comey - the,Mick Mulvaney,1
9842,James Comey - the,James Donovan - a,1
9843,James Comey - the,Michael Dubke - founder,1
9844,James Comey - the,Michael Flynn - resigned,1
9845,James Comey - the,Mike Pence,1
9846,James Comey - the,Mark Green - Trump,1
9847,James Comey - the,Jason Miller - communications,1
9848,James Comey - the,Tom Price,1
9849,James Comey - the,Price,1
9850,James Comey - the,Reince Priebus - the,1
9851,James Comey - the,John Kelly,1
9852,James Comey - the,Todd Ricketts,1
9853,Anthony Scaramucci - the,James Comey - the,1
9854,James Comey - the,Walter Shaub - the,1
9855,James Comey - the,Michael Short,1
9856,James Comey - the,Sean Spicer - resigned,1
9857,James Comey - the,Scaramucci,1
9858,James Comey - the,Robin Townley,1
9859,Flynn,James Comey - the,1
9860,James Comey - the,Politico,3
9861,James Comey - the,Vincent Viola,1
9862,James Comey - the,Katie Walsh,1
9863,Caroline Wiles - Trump,James Comey - the,1
9864,James Comey - the,Sally Yates,1
9865,James Donovan - a,Trump,1
9866,Michael Dubke - founder,Trump,1
